EMPRESA;TICKER;ULT.PRECO;VARIACAO;FECHAMENTO_ANTERIOR
BRADESCO PN;BBDC4;19,41;-2,07 %;19,82
ABC BRASIL PN;ABCB4;15,97;-0,93 %;16,12
ALPARGATAS PN;ALPA4;38,69;-0,49 %;38,88
ALUPAR UNT;ALUP11;24,13;-1,63 %;24,53
AMBEV ON;ABEV3;15,42;-0,71 %;15,53
ANIMA ON;ANIM3;8,31;-4,37 %;8,69
AREZZO CO ON;ARZZ3;74,75;-1,81 %;76,13
AZUL PN;AZUL4;24,51;-3,58 %;25,42
B3 ON;B3SA3;11,88;-3,49 %;12,31
BANRISUL PNB;BRSR6;9,36;-2,30 %;9,58
BB SEGURIDADE ON;BBSE3;20,38;-0,78 %;20,54
BK BRASIL ON;BKBR3;6,22;-5,04 %;6,55
BR MALLS PART ON;BRML3;7,85;-6,66 %;8,41
BR PROPERTIES ON;BRPR3;7,35;-5,89 %;7,81
BRADESCO ON;BBDC3;16,52;-1,90 %;16,84
BRADESPAR PN;BRAP4;22,33;-3,50 %;23,14
BRASIL ON;BBAS3;29,42;-3,00 %;30,33
BRASKEM PNA;BRKM5;55,45;0,47 %;55,19
BRF ON;BRFS3;21,27;-1,07 %;21,50
BTGP BANCO UNT;BPAC11;21,84;-3,96 %;22,74
CAMIL ON;CAML3;10,18;-0,29 %;10,21
CARREFOUR BR ON;CRFB3;15,51;-1,90 %;15,81
CCR ON;CCRO3;11,93;-1,81 %;12,15
CEMIG ON;CMIG3;18,75;-0,79 %;18,90
CEMIG PN;CMIG4;13,91;-1,49 %;14,12
CESP PNB;CESP6;21,10;-2,09 %;21,55
CIELO ON;CIEL3;2,15;-4,44 %;2,25
COMGAS PNA;CGAS5;144,53;-0,91 %;145,85
COPASA ON I12;CSMG3;13,07;-0,61 %;13,15
COPEL PNB;CPLE6;6,31;-1,71 %;6,42
COSAN ON;CSAN3;21,67;-2,12 %;22,14
COSAN LOG ON;RLOG3;23,08;3,41 %;22,32
CPFL ENERGIA ON;CPFE3;27,36;-1,48 %;27,77
CVC BRASIL ON;CVCB3;13,86;-8,76 %;15,19
CYRELA REALT ON;CYRE3;15,33;-1,16 %;15,51
DIRECIONAL ON;DIRR3;12,49;0,48 %;12,43
DOMMO ON;DMMO3;0,50;-3,85 %;0,52
ECORODOVIAS ON;ECOR3;7,44;-4,86 %;7,82
ELETROBRAS ON;ELET3;32,78;-3,08 %;33,82
ELETROBRAS PNB;ELET6;32,36;-3,11 %;33,40
EMBRAER ON;EMBR3;19,91;-2,40 %;20,40
ENERGIAS DO BRASIL ON;ENBR3;20,90;-0,76 %;21,06
ENERGISA UNIT;ENGI11;44,85;-1,71 %;45,63
ENEVA ON;ENEV3;14,13;1,29 %;13,95
ENGIE BRASIL ON;EGIE3;38,86;-0,69 %;39,13
EQUATORIAL ON;EQTL3;23,12;-1,78 %;23,54
EVEN ON;EVEN3;6,28;-2,79 %;6,46
EZTEC ON;EZTC3;20,57;-1,58 %;20,90
FERBASA PN;FESA4;48,15;-3,25 %;49,77
FLEURY ON;FLRY3;17,98;-2,71 %;18,48
GAFISA ON;GFSA3;2,02;-5,61 %;2,14
GERDAU PN;GGBR4;27,29;-5,93 %;29,01
METALÚRGICA GERDAU PN;GOAU4;11,22;-5,48 %;11,87
GOL PN;GOLL4;17,41;-4,24 %;18,18
GRENDENE ON;GRND3;8,33;-0,24 %;8,35
GUARARAPES CONFECÇÕES ON;GUAR3;10,35;-0,19 %;10,37
HAPVIDA ON;HAPV3;11,25;-1,06 %;11,37
HELBOR ON;HBOR3;4,45;-3,26 %;4,60
HYPERA ON;HYPE3;28,88;-1,97 %;29,46
IHPARDINI ON;PARD3;19,65;0,15 %;19,62
IMC ON;MEAL3;2,53;-3,07 %;2,61
INTERMÉDICA ON;GNDI3;64,62;-0,89 %;65,20
IOCHPE-MAXION ON;MYPK3;15,79;-0,44 %;15,86
IRB BRASIL RESSEGUROS ON;IRBR3;4,19;-3,46 %;4,34
ITAÚSA PN;ITSA4;9,45;-0,94 %;9,54
ITAÚ UNIBANCO ON;ITUB3;19,08;-1,19 %;19,31
ITAÚ UNIBANCO PN;ITUB4;21,12;-1,54 %;21,45
JBS ON;JBSS3;37,57;1,43 %;37,04
KLABIN UNT;KLBN11;26,08;-1,10 %;26,37
LIGHT ON;LIGT3;11,18;0,27 %;11,15
LOCALIZA ON;RENT3;56,00;-1,15 %;56,65
LOJAS AMERICANAS ON;LAME3;5,76;-2,21 %;5,89
LOJAS AMERICANAS PN;LAME4;5,84;-1,02 %;5,90
LOJAS MARISA ON;AMAR3;3,76;-1,31 %;3,81
LOJAS RENNER ON;LREN3;25,26;-3,73 %;26,24
M.DIAS BRANCO ON;MDIA3;25,28;-0,90 %;25,51
MAGAZINE LUIZA ON;MGLU3;6,33;-4,95 %;6,66
MARCOPOLO PN;POMO4;2,85;0,35 %;2,84
MARFRIG ON;MRFG3;23,33;-1,89 %;23,78
METAL LEVE ON;LEVE3;31,02;-5,46 %;32,81
MINERVA ON;BEEF3;10,01;1,21 %;9,89
MOVIDA ON;MOVI3;17,09;-1,67 %;17,38
MRV ON;MRVE3;11,48;-1,80 %;11,69
MULTIPLAN ON;MULT3;19,02;-4,66 %;19,95
ODONTOPREV ON;ODPV3;12,10;0,83 %;12,00
OMEGA GERAÇÃO ON;OMGE3;27,74;0,58 %;27,58
PETROBRAS ON;PETR3;30,20;-1,92 %;30,79
PETROBRAS PN;PETR4;28,16;-2,86 %;28,99
PETRO RIO ON;PRIO3;19,11;-5,86 %;20,30
PORTO SEGURO ON;PSSA3;20,82;-0,76 %;20,98
PORTOBELLO ON;PTBL3;10,00;-5,21 %;10,55
QUALICORP ON;QUAL3;16,60;-3,09 %;17,13
RAIA DROGASIL ON;RADL3;24,15;-0,41 %;24,25
RANDON PART PN;RAPT4;10,69;-0,28 %;10,72
RUMO ON;RAIL3;18,18;-0,33 %;18,24
SABESP ON;SBSP3;39,58;-0,98 %;39,97
SANEPAR UNIT;SAPR11;19,05;-1,09 %;19,26
SANTANDER BR UNIT;SANB11;30,69;-1,16 %;31,05
SANTOS BR PART ON;STBP3;6,52;-5,78 %;6,92
SÃO MARTINHO ON;SMTO3;33,92;-3,09 %;35,00
SER EDUCACIONAL ON;SEER3;10,45;-0,76 %;10,53
SID NACIONAL ON;CSNA3;23,71;-6,91 %;25,47
SLC AGRICOLA ON;SLCE3;37,48;-1,70 %;38,13
SUL AMERICA UNT;SULA11;25,88;-1,56 %;26,29
SUZANO PAPEL ON;SUZB3;59,89;-2,63 %;61,51
TAESA UNIT;TAEE11;36,18;-1,07 %;36,57
TEGMA ON;TGMA3;15,68;-4,10 %;16,35
TOTVS ON;TOTS3;29,17;-1,75 %;29,69
TRANS PAULISTA PN;TRPL4;24,24;-0,78 %;24,43
TUPY ON;TUPY3;20,44;-1,49 %;20,75
ULTRAPAR ON;UGPA3;14,32;-5,73 %;15,19
UNIPAR PNB;UNIP6;103,03;2,14 %;100,87
USIMINAS PNA;USIM5;14,67;-5,60 %;15,54
VALE ON;VALE3;78,28;-1,12 %;79,17
VALID ON;VLID3;7,93;-4,92 %;8,34
VULCABRAS ON;VULC3;9,51;-2,26 %;9,73
WEG ON;WEGE3;34,01;-2,33 %;34,82
WIZ ON;WIZS3;7,61;-1,68 %;7,74
VIVARA ON;VIVA3;24,91;-1,97 %;25,41
CEA MODAS ON;CEAB3;6,22;-1,89 %;6,34
YDUQS PARTICIPAÇÕES ON;YDUQ3;21,34;-1,61 %;21,69
COGNA ON;COGN3;2,52;-1,95 %;2,57
INTER BANCO UNIT;BIDI11;29,03;-4,25 %;30,32
BIOMM ON;BIOM3;12,95;-6,63 %;13,87
BANCO PAN PN;BPAN4;10,24;-2,66 %;10,52
CSU CARDSYST ON;CARD3;12,73;-5,49 %;13,47
FERTILIZANTES HERINGER ON;FHER3;19,29;-3,11 %;19,91
FRAS-LE ON;FRAS3;13,26;-1,34 %;13,44
METALFRIO ON;FRIO3;50,59;23,39 %;41,00
POMIFRUTAS ON;FRTA3;6,00;0,84 %;5,95
GENERAL SHOPPING ON;GSHP3;35,20;0,00 %;35,20
GP INVESTMENTS;GPIV33;5,94;2,41 %;5,80
LOPES BRASIL ON;LPSB3;2,23;-1,76 %;2,27
LOG-IN ON;LOGN3;22,75;0,00 %;22,75
MANGELS INDL ON;MGEL3;74,10;-;74,10
MILLS ON;MILS3;6,25;-3,55 %;6,48
OUROFINO ON;OFSA3;25,30;1,40 %;24,95
OI ON;OIBR3;0,80;-1,23 %;0,81
PROFARMA ON;PFRM3;5,51;-0,36 %;5,53
PINE ON;PINE3;-;-;-
INDS ROMI ON;ROMI3;17,87;-4,39 %;18,69
PARANAPANEMA ON;PMAM3;9,55;-3,63 %;9,91
ROSSI RESIDENCIAL ON;RSID3;9,21;-6,78 %;9,88
SAO CARLOS ON;SCAR3;35,40;-0,11 %;35,44
SPRINGS ON;SGPS3;4,87;1,25 %;4,81
TIME FOR FUN ON;SHOW3;3,79;1,07 %;3,75
SARAIVA LIVREIROS ON;SLED3;0,61;1,67 %;0,60
TECNISA ON;TCSA3;3,73;-4,60 %;3,91
TECHNOS ON;TECN3;2,23;-0,89 %;2,25
TELEBRAS PN;TELB4;15,28;0,13 %;15,26
TENDA ON;TEND3;17,24;-2,54 %;17,69
TERRA SANTA ON;TESA3;48,00;-2,74 %;49,35
TRIUNFO PART ON;TPIS3;2,00;-4,76 %;2,10
TRISUL ON;TRIS3;5,56;-3,97 %;5,79
VIVER ON;VIVR3;1,24;-3,12 %;1,28
GRUPO NATURA ON;NTCO3;27,33;-2,25 %;27,96
P.ACUCAR - CBD ON;PCAR3;22,65;-2,58 %;23,25
