Name;Index
chilton-us-long-short-dolar-advisory-fic-fia-ie;ibov
bradesco-institucional-fia-bdr-nivel-i;ibov
vitreo-tech-select-fia-bdr-nivel-i;ibov
bradesco-fia-bdr-nivel-i;ibov
btg-pactual-digital-dolar-fi-cambial;cdi
itau-index-cambial-dolar-fic-fi;cdi
bradesco-fic-fi-cambial-agora;cdi
icatu-vanguarda-dolar-fi-cambial;cdi
occam-fi-cambial;cdi
vitreo-criptomoedas-fic-fim-investimentimento-exterior;cdi
hashdex-100-nasdaq-crypto-index-fim-ie;cdi
safra-sp-fim;cdi
itau-index-multimercado-estrategia-sp-500-usd-fic-fi;cdi
itau-index-inflacao-americana-rf-usd-ie-fic-fi;cdi
itau-index-credito-high-yield-americano-rf-usd-ie-fic-fi;cdi
bb-rf-lp-bonds-globais-fx-private-cp-ie-fic-fi;cdi
bb-rf-lp-cp-fx-bonds-brasileiros-ie-private-fic-fi;cdi
bradesco-fi-rf-divida-externa-credito-soberano;cdi
itau-private-rf-vendido-idka-3-fic-fi;cdi
