Segmento;Empresa;Ticker
Utilidade Pública;Omega Energia;MEGA3, 
Utilidade Pública;Celpe;CEPE6F, CEPE5F, CEPE3F, CEPE6, CEPE5, CEPE3
Utilidade Pública;CEEE-D;CEED3F, CEED4F, CEED4, CEED3, 
Utilidade Pública;Ceee-gt;EEEL4F, EEEL3F, EEEL4, EEEL3, 
Utilidade Pública;Casan;CASN4F, CASN3F, CASN4, CASN3, 
Utilidade Pública;CEG;CEGR3F, CEGR3, 
Utilidade Pública;CEB;CEBR3F, CEBR6F, CEBR5F, CEBR6, CEBR5, CEBR3
Utilidade Pública;Renova;RNEW11F, RNEW11F, RNEW4F, RNEW4, RNEW3, 
Utilidade Pública;Coelce;COCE6F, COCE5F, COCE3F, COCE6, COCE5, COCE3
Utilidade Pública;Celesc;CLSC4F, CLSC3F, CLSC4, CLSC3, 
Utilidade Pública;Alupar Investimento;ALUP4F, ALUP3F, ALUP11F, ALUP4, ALUP3, ALUP11
Utilidade Pública;Sanepar;SAPR11F, SAPR4F, SAPR3F, SAPR4, SAPR3, SAPR11
Utilidade Pública;CPFL Renovav;CPRE3F, CPRE3, 
Utilidade Pública;Copel;CPLE5F, CPLE6F, CPLE6, CPLE5, CPLE3F, CPLE3
Utilidade Pública;CPFL Energia;CPFE3F, CPFE3, 
Utilidade Pública;Comgás;CGAS3F, CGAS5F, CGAS5, CGAS3, 
Utilidade Pública;AES Brasil;AESB3F, AESB3, 
Utilidade Pública;Neoenergia;NEOE3, 
Utilidade Pública;ISA CTEEP;TRPL4F, TRPL4, TRPL3F, TRPL3, 
Utilidade Pública;Engie Brasil;EGIE3, 
Utilidade Pública;Taesa;TAEE4, TAEE3, TAEE11, 
Utilidade Pública;Sabesp;SBSP3F, SBSP3, 
Utilidade Pública;Renaova;RNEW11, 
Utilidade Pública;Ger Paranapanema;GEPA4, GEPA3, 
Utilidade Pública;CESP;CESP6, CESP5, CESP3F, CESP3, 
Utilidade Pública;Cemig;CMIG4, CMIG3F, CMIG3, 
Utilidade Pública;Afluente T;AFLT3, 
Telecomunicações;Brisanet;BRIT3, 
Telecomunicações;Unifique;FIQE3, 
Telecomunicações;Desktop;DESK3, 
Telecomunicações;Verizon;VERZ34F, VERZ34, 
Telecomunicações;OI;OIBR4F, OIBR4, OIBR, 
Telecomunicações;Tim Participações;TIMS3F, TIMS3, 
Telecomunicações;Telefônica Brasil S.A;VIVT4F, VIVT4, VIVT3F, VIVT3, 
Telecomunicações;Telebras;TELB4F, TELB4, TELB3F, TELB3, 
Telecomunicações;Att Inc;ATTB34, 
ecnologia da Informação;ClearSale;CLSA3, 
ecnologia da Informação;Livetech;LVTC3, 
ecnologia da Informação;G2D Investments;G2DI33, 
ecnologia da Informação;Infracommerce;IFCM3, 
ecnologia da Informação;Alphabet;GOGL35, 
ecnologia da Informação;Locaweb;LWSA3, 
ecnologia da Informação;Totvs;TOTS3F, TOTS3, 
ecnologia da Informação;Xerox;XRXB34F, XRXB34, 
ecnologia da Informação;Qualcomm;QCOM34F, QCOM34, 
ecnologia da Informação;Oracle;ORCL34F, ORCL34, 
ecnologia da Informação;Microsoft;MSFT34F, MSFT34, 
ecnologia da Informação;IBM;IBMB34F, IBMB34, 
